JLCPCB Part #;MFR Part #;Library;Manufacturer;Stock;Price (1pc);Price (100pcs);Price (1000pcs);Datasheet URL;Power Rating;Type;Voltage Rating;Temperature Coefficient;Tolerance;Value;Footprint;Dielectric
C17738;0805W8F510JT5E;Basic;uni-royal(uniroyal elec);754382;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18426-0805W8F510JT5E/C17738;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;51Ω;805;
C17772;0805W8F6801T5E;Basic;uni-royal(uniroyal elec);485709;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18460-0805W8F6801T5E/C17772;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;6.8k;805;
C17798;0805W8F6800T5E;Basic;uni-royal(uniroyal elec);257376;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18486-0805W8F6800T5E/C17798;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;680Ω;805;
C17801;0805W8F6802T5E;Basic;uni-royal(uniroyal elec);151665;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18489-0805W8F6802T5E/C17801;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;68k;805;
C17828;0805W8F8201T5E;Basic;uni-royal(uniroyal elec);84162;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18516-0805W8F8201T5E/C17828;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;8.2k;805;
C17887;1206W4F3000T5E;Basic;uni-royal(uniroyal elec);155720;$0.0032;$0.0020;;https://www.lcsc.com/partdetail/18575-1206W4F3000T5E/C17887;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;300Ω;1206;
C17888;1206W4F0000T5E;Basic;uni-royal(uniroyal elec);2125316;$0.0029;$0.0016;;https://www.lcsc.com/partdetail/18576-1206W4F0000T5E/C17888;250mW;Thick Film Resistors;200V;±800ppm/℃;±1%;0Ω;1206;
C17900;1206W4F1003T5E;Basic;uni-royal(uniroyal elec);1362263;$0.0028;$0.0016;;https://www.lcsc.com/partdetail/18588-1206W4F1003T5E/C17900;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;100k;1206;
C17901;1206W4F1000T5E;Basic;uni-royal(uniroyal elec);1929927;$0.0027;$0.0016;;https://www.lcsc.com/partdetail/18589-1206W4F1000T5E/C17901;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;100Ω;1206;
C17902;1206W4F1002T5E;Basic;uni-royal(uniroyal elec);1889584;$0.0030;$0.0018;;https://www.lcsc.com/partdetail/18590-1206W4F1002T5E/C17902;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;10k;1206;
C17903;1206W4F100JT5E;Basic;uni-royal(uniroyal elec);1006704;$0.0029;$0.0018;;https://www.lcsc.com/partdetail/18591-1206W4F100JT5E/C17903;250mW;Thick Film Resistors;200V;±400ppm/℃;±1%;10Ω;1206;
C17909;1206W4F1200T5E;Basic;uni-royal(uniroyal elec);262696;$0.0031;$0.0019;;https://www.lcsc.com/partdetail/18597-1206W4F1200T5E/C17909;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;120Ω;1206;
C17927;1206W4F1004T5E;Basic;uni-royal(uniroyal elec);4029451;$0.0026;$0.0017;;https://www.lcsc.com/partdetail/18615-1206W4F1004T5E/C17927;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;1M;1206;
C17928;1206W4F100KT5E;Basic;uni-royal(uniroyal elec);301035;$0.0048;$0.0026;;https://www.lcsc.com/partdetail/18616-1206W4F100KT5E/C17928;250mW;Thick Film Resistors;200V;±800ppm/℃;±1%;1Ω;1206;
C17936;1206W4F4701T5E;Basic;uni-royal(uniroyal elec);449862;$0.0031;$0.0019;;https://www.lcsc.com/partdetail/18624-1206W4F4701T5E/C17936;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;4.7k;1206;
C17944;1206W4F2001T5E;Basic;uni-royal(uniroyal elec);617479;$0.0031;$0.0019;;https://www.lcsc.com/partdetail/18632-1206W4F2001T5E/C17944;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;2k;1206;
C17955;1206W4F200JT5E;Basic;uni-royal(uniroyal elec);441130;$0.0031;$0.0017;;https://www.lcsc.com/partdetail/18643-1206W4F200JT5E/C17955;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;20Ω;1206;
C17958;1206W4F220JT5E;Basic;uni-royal(uniroyal elec);246636;$0.0032;$0.0018;;https://www.lcsc.com/partdetail/18646-1206W4F220JT5E/C17958;250mW;Thick Film Resistors;200V;±100ppm/℃;±1%;22Ω;1206;
C20197;4D03WGJ0102T5E;Basic;uni-royal(uniroyal elec);476279;$0.0053;$0.0030;;https://www.lcsc.com/partdetail/20907-4D03WGJ0102T5E/C20197;5mW;Resistor Networks;;±200ppm/℃;±5%;1k;603;
C21189;0603WAF0000T5E;Basic;uni-royal(uniroyal elec);6478193;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/21903-0603WAF0000T5E/C21189;100mW;Thick Film Resistors;75V;;±1%;0Ω;603;
C21190;0603WAF1001T5E;Basic;uni-royal(uniroyal elec);22268456;$0.0010;$0.0006;;https://www.lcsc.com/partdetail/21904-0603WAF1001T5E/C21190;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;1k;603;
C22765;0603WAF1201T5E;Basic;uni-royal(uniroyal elec);1059687;$0.0011;$0.0008;;https://www.lcsc.com/partdetail/23492-0603WAF1201T5E/C22765;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;1.2k;603;
C22775;0603WAF1000T5E;Basic;uni-royal(uniroyal elec);5682478;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23502-0603WAF1000T5E/C22775;100mW;Thick Film Resistors;75V;±200ppm/℃;±1%;100Ω;603;
C22787;0603WAF1200T5E;Basic;uni-royal(uniroyal elec);481799;$0.0011;$0.0008;;https://www.lcsc.com/partdetail/23514-0603WAF1200T5E/C22787;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;120Ω;603;
C22790;0603WAF1202T5E;Basic;uni-royal(uniroyal elec);900158;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23517-0603WAF1202T5E/C22790;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;12k;603;
C22797;0603WAF1302T5E;Basic;uni-royal(uniroyal elec);249604;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23524-0603WAF1302T5E/C22797;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;13k;603;
C22807;0603WAF1503T5E;Basic;uni-royal(uniroyal elec);513769;$0.0011;$0.0007;;https://www.lcsc.com/partdetail/23534-0603WAF1503T5E/C22807;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;150k;603;
C22808;0603WAF1500T5E;Basic;uni-royal(uniroyal elec);791995;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23535-0603WAF1500T5E/C22808;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;150Ω;603;
C22809;0603WAF1502T5E;Basic;uni-royal(uniroyal elec);891773;$0.0011;$0.0007;;https://www.lcsc.com/partdetail/23536-0603WAF1502T5E/C22809;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;15k;603;
C22843;0603WAF1501T5E;Basic;uni-royal(uniroyal elec);813377;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23570-0603WAF1501T5E/C22843;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;1.5k;603;
C22859;0603WAF100JT5E;Basic;uni-royal(uniroyal elec);4341401;$0.0009;$0.0006;;https://www.lcsc.com/partdetail/23586-0603WAF100JT5E/C22859;100mW;Thick Film Resistors;75V;±400ppm/℃;±1%;10Ω;603;
C22935;0603WAF1004T5E;Basic;uni-royal(uniroyal elec);2188044;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23662-0603WAF1004T5E/C22935;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;1M;603;
C22936;0603WAF100KT5E;Basic;uni-royal(uniroyal elec);1299521;$0.0015;$0.0010;;https://www.lcsc.com/partdetail/23663-0603WAF100KT5E/C22936;100mW;Thick Film Resistors;75V;±400ppm/℃;±1%;1Ω;603;
C22939;0603WAF220KT5E;Basic;uni-royal(uniroyal elec);645893;$0.0016;$0.0010;;https://www.lcsc.com/partdetail/23666-0603WAF220KT5E/C22939;100mW;Thick Film Resistors;75V;±400ppm/℃;±1%;2.2Ω;603;
C22940;0603WAF2401T5E;Basic;uni-royal(uniroyal elec);736980;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23667-0603WAF2401T5E/C22940;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;2.4k;603;
C22950;0603WAF200JT5E;Basic;uni-royal(uniroyal elec);936106;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23677-0603WAF200JT5E/C22950;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;20Ω;603;
C22961;0603WAF2203T5E;Basic;uni-royal(uniroyal elec);743215;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23688-0603WAF2203T5E/C22961;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;220k;603;
C22962;0603WAF2200T5E;Basic;uni-royal(uniroyal elec);2460185;$0.0011;$0.0007;;https://www.lcsc.com/partdetail/23689-0603WAF2200T5E/C22962;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;220Ω;603;
C22966;0603WAF2700T5E;Basic;uni-royal(uniroyal elec);350572;$0.0011;$0.0007;;https://www.lcsc.com/partdetail/23693-0603WAF2700T5E/C22966;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;270Ω;603;
C22967;0603WAF2702T5E;Basic;uni-royal(uniroyal elec);733724;$0.0011;$0.0008;;https://www.lcsc.com/partdetail/23694-0603WAF2702T5E/C22967;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;27k;603;
C22975;0603WAF2001T5E;Basic;uni-royal(uniroyal elec);7871788;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23702-0603WAF2001T5E/C22975;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;2k;603;
C22976;0603WAF2004T5E;Basic;uni-royal(uniroyal elec);655492;$0.0014;$0.0009;;https://www.lcsc.com/partdetail/23703-0603WAF2004T5E/C22976;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;2M;603;
C22977;0603WAF200KT5E;Basic;uni-royal(uniroyal elec);961698;$0.0015;$0.0009;;https://www.lcsc.com/partdetail/23704-0603WAF200KT5E/C22977;100mW;Thick Film Resistors;75V;±200ppm/℃;±1%;2Ω;603;
C22978;0603WAF3301T5E;Basic;uni-royal(uniroyal elec);2492065;$0.0009;$0.0006;;https://www.lcsc.com/partdetail/23705-0603WAF3301T5E/C22978;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;3.3k;603;
C22980;0603WAF3601T5E;Basic;uni-royal(uniroyal elec);361820;$0.0011;$0.0007;;https://www.lcsc.com/partdetail/23707-0603WAF3601T5E/C22980;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;3.6k;603;
C22984;0603WAF3002T5E;Basic;uni-royal(uniroyal elec);1629178;$0.0010;$0.0007;;https://www.lcsc.com/partdetail/23711-0603WAF3002T5E/C22984;100mW;Thick Film Resistors;75V;±100ppm/℃;±1%;30k;603;
